Country;2008;2009;2010;2011;2012;2013;2014;2015;2016
 Hungary;23921.5879;22296.1228;21894.1639;21931.3394;21210.7514;21952.5629;23734.5757;24991.7597;27611.0805
 Iceland;41318.8161;38799.9305;37729.2721;39733.2467;41194.2186;46379.8197;46570.3274;48378.8959;51279.9319
 India;5360.1093;5627.6632;6029.4451;6345.3953;6565.473;6834.593;7173.2144;7558.5866;7917.7027
 Indonesia;9283.3414;9847.8958;10676.6632;11350.2854;11777.51;11962.401;12221.0373;12343.7993;12773.4595
 Iran;19945.4769;19714.8284;20315.2099;20706.7316;19350.6862;18446.7508;18680.4612;18560.4655;19479.9398
 Iraq;18347.3376;18304.1772;18388.4731;19289.9277;21073.6735;25342.9413;24231.2856;22780.4305;24231.1622
 Ireland;47636.4046;41826.272;42255.511;40721.6413;40443.0652;42666.5816;46540.5242;55014.8494;57645.399
 Israel;37054.4923;36400.208;37633.9161;39229.8818;39032.7062;40512.8001;41592.572;41903.6967;42942.7184
 Italy;37878.0513;35590.8212;36028.0576;36058.2421;34836.8511;33967.7973;33920.0603;34155.3398;34411.9796
 Jamaica;11286.3302;10488.8768;10368.8746;10408.9561;10398.4704;10168.7629;10071.0077;10012.7113;10143.9195
 Japan;35316.6982;33350.9133;34630.9231;34757.2085;35333.855;36375.9405;36604.6785;37130.9955;37540.8739
 Jordan;16908.7747;16919.5102;16022.6857;15761.2443;15521.4155;15445.1355;15386.954;15283.8703;15195.4627
 Kazakhstan;20229.9366;20963.3205;21578.6591;22332.8669;23230.0602;25192.3912;25970.2234;27036.7708;27026.2886
 Kenya;4254.0989;4253.1185;4450.4184;4595.7243;4643.138;4746.7201;4845.2255;4963.987;3674.7562
 Kiribati;3484.9991;3924.1528;3905.6163;3600.7226;4000.1448;4562.8922;5117.3318;6056.55;6089.7859
 Korea;31092.5377;30909.9307;32642.0887;33498.9304;34011.103;34457.8142;35066.1285;35626.26;36242.1549
 Kosovo;6872.9345;6856.1453;7033.5262;7255.099;7510.7788;7731.9597;7828.719;8111.2995;8420.8165
 Kuwait;119431.5501;102467.1755;94483.4852;95388.5307;95133.896;92794.9735;90199.4583;89863.7871;82449.719
 Kyrgyzstan;3872.3521;3820.0589;3607.8906;3675.3385;3831.1997;4023.1879;4225.5654;4299.5742;4489.4873
 Lao PDR;5508.4455;5857.2419;5906.6619;6151.4191;6477.6873;6830.9406;7184.6766;7493.8699;7782.5297
 Latvia;22513.9032;21071.6265;19338.5031;20450.7129;21307.5587;22213.5228;22892.8723;23706.9929;24355.4377
 Lebanon;18965.7783;19954.3995;20440.6256;19981.026;18706.4581;17068.8065;16605.326;16198.7874;16147.7715
 Lesotho;4232.043;4261.8703;4361.2608;4678.677;4706.0487;5084.9006;4777.7674;4816.0879;4909.8313
 Liberia;888.6878;1031.3605;1083.5895;1185.1781;1151.3859;1206.4989;1168.1536;1178.7977;1132.2274
 Libya;44683.4782;43473.8321;44235.5809;17072.473;37408.7447;18287.8485;14389.3084;13473.8951;12728.2577
 Lithuania;24002.3842;21754.9803;21522.3418;22646.411;23963.7233;25198.8102;26677.3939;26787.2595;27643.9366
 Luxembourg;77309.0596;64370.812;72419.3877;67124.7976;65804.807;63693.1177;65308.3221;69420.0252;71228.4072
 Macao;77880.8283;76496.3353;90422.247;103536.7968;108601.4031;116923.2016;115676.3266;89611.12;83720.1687
 Macedonia;12683.0419;12591.6089;12829.7528;12949.4717;12805.8512;12988.2423;13476.2754;13830.434;14100.9575
 Madagascar;2773.0827;2556.6864;2480.7447;2421.2333;2372.1437;2344.2519;2350.4214;2313.5566;2327.9534
 Malawi;1650.1227;1742.8724;1785.7436;1830.9607;1789.7105;1812.3605;1750.4615;1697.5889;1672.7874
 Malaysia;27063.1006;24052.0942;26199.2956;27678.9434;27759.5769;28432.5678;29377.3362;30250.7253;30872.8165
 Maldives;14735.6486;13582.4701;13888.5556;14701.6118;14890.8753;14732.365;15334.0948;15639.9149;16770.2296
 Mali;2907.7095;3147.3759;3326.8764;3503.6771;3773.9269;3960.8461;4178.0918;4355.411;4450.9061
 Malta;31245.1239;28949.4553;30058.5076;30621.4272;30924.9699;31806.079;33467.0553;35587.4172;37103.0956
 Mauritania;5765.8242;5653.236;5581.9105;5580.9962;5708.4263;5863.8012;6006.4277;5906.7116;5828.6336
 Mauritius;18585.5618;18402.9968;18458.0271;19004.1168;19545.9519;19867.0292;19808.1647;20333.9401;20831.9307
 Mexico;22135.6726;20670.3503;21402.4814;21647.3658;22003.863;21727.9903;21617.751;21675.2209;21714.3406
 Micronesia;5592.8586;5781.6424;5826.2566;5778.684;5700.8938;5582.9499;5557.654;5682.3261;5685.8824
 Middle Africa;4250.8013;4506.9424;4454.2881;4474.1685;4753.6348;4781.4214;4964.7324;4914.6719;4656.4292
 Middle East;24466.9922;23543.373;23926.3027;24707.9355;24711.1074;24893.4648;25051.9375;25164.1738;25465.6094
 Moldova;4115.5895;3698.2388;4037.9609;4265.4721;4335.7733;4677.3405;4853.3032;4612.5262;4784.4447
 Mongolia;9916.8853;9400.6452;9251.2382;10623.9342;11711.9739;13087.5371;13482.2857;13400.1075;13323.0301
 Montenegro;16374.6692;15200.0628;15388.6608;16060.2565;15682.5668;16193.9094;16299.7341;17160.021;17482.6944
 Morocco;8422.9613;8505.3522;8652.6365;8891.1764;8934.4597;9221.6917;9170.1323;9435.602;9362.5921
 Mozambique;1382.925;1505.7319;1670.266;1802.4878;1873.7541;1948.5967;2015.6005;2077.9666;2086.5228
